Action;Adventure;Animation;Comedy;Family;Fantasy;ScienceFiction;Thriller;Crime;Drama;Mystery;Music;Romance;Western;Foreign;History;War;Horror;Documentary;Adventure;Action;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;Foreign;History;Horror;Music;Mystery;None;Romance;ScienceFiction;Thriller;TVMovie;War;Western;budget;originallanguage;popularity;releasedate;revenue;runtime;title;voteaverage;votecount
0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7000000;en;6.950458;1995;25405445;104;Desperado;6,8;898
0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27000000;en;4.646132;1995;16140822;102;Devil in a Blue Dress;6,3;88
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000000;en;15.138855;1995;366101666;128;Die Hard: With a Vengeance;6,9;2094
1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55000000;en;15.178338;1995;127600435;134;First Knight;5,9;319
1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20000000;en;14.810519;1995;7563728;107;Hackers;6,2;406
0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25000000;en;11.715868;1995;19075720;97;Johnny Mnemonic;5,5;380
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;90000000;en;8.184815;1995;113493481;96;Judge Dredd;5,4;643
0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500000;en;4.877872;1995;7412216;91;Kids;6,8;280
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500000;en;10.058329;1995;1148752;89;Living in Oblivion;7,2;64
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6000000;en;8.25547;1995;2122561;94;Mallrats;6,8;400
